1,65,7.88
1,3533,7.753
1,3562,5.693
1,3608,5.639
1,92,5.461
1,141,5.294
1,361,5.294
1,3734,5.197
1,3829,5.15
1,3420,5.108
2,3549,10.143
2,305,9.85
2,288,9.57
2,223,8.842
2,3762,6.936
2,219,6.936
2,3663,6.51
2,188,6.063
2,3766,5.781
2,3408,4.688
3,3354,7.745
3,3345,7.595
3,268,6.405
3,328,6.199
3,21,6.01
3,304,5.961
3,313,5.908
3,55,5.299
3,3790,5.195
3,3789,4.684
4,3938,5.122
4,351,4.838
4,3334,4.49
4,3932,3.966
4,3532,3.735
4,3820,3.634
4,3826,3.634
4,143,3.302
4,3338,3.302
4,272,3.302
5,3933,7.062
5,3936,6.278
5,3937,6.225
5,3935,6.013
5,3924,6.01
5,3926,5.848
5,133,5.818
5,3915,5.765
5,3912,5.677
5,139,5.639
6,59,10.823
6,3906,8.621
6,30,6.616
6,3910,5.805
6,3930,4.414
6,272,3.533
6,3919,3.504
6,3463,3.112
6,3920,2.693
6,3926,2.693
7,3693,6.669
7,3459,6.246
7,21,6.104
7,3416,5.979
7,287,5.892
7,3570,5.863
7,3797,5.628
7,3495,5.466
7,3931,5.418
7,3785,5.405
8,3928,8.339
8,135,5.532
8,3915,5.344
8,3856,5.094
8,3914,4.977
8,3933,4.601
8,3935,4.577
8,3924,4.242
8,3936,4.242
8,3932,4.189
9,351,4.612
9,129,4.553
9,252,4.293
9,3370,4.221
9,101,4.027
9,3443,3.94
9,3648,3.81
9,38,3.695
9,3508,3.508
9,3409,3.5
10,3524,7.511
10,3876,7.363
10,3527,7.331
10,3446,6.711
10,218,6.446
10,3920,6.224
10,3374,6.213
10,3899,5.809
10,66,5.571
10,3412,5.397
